Category: All categories

Month,anxiety: (Worldwide)
2004-01,49
2004-02,47
2004-03,51
2004-04,50
2004-05,47
2004-06,45
2004-07,50
2004-08,49
2004-09,50
2004-10,50
2004-11,49
2004-12,46
2005-01,49
2005-02,49
2005-03,46
2005-04,50
2005-05,46
2005-06,44
2005-07,43
2005-08,46
2005-09,45
2005-10,49
2005-11,47
2005-12,40
2006-01,47
2006-02,45
2006-03,47
2006-04,46
2006-05,44
2006-06,40
2006-07,41
2006-08,42
2006-09,44
2006-10,44
2006-11,42
2006-12,37
2007-01,40
2007-02,41
2007-03,41
2007-04,41
2007-05,39
2007-06,35
2007-07,38
2007-08,37
2007-09,40
2007-10,41
2007-11,37
2007-12,34
2008-01,40
2008-02,41
2008-03,38
2008-04,40
2008-05,37
2008-06,36
2008-07,37
2008-08,37
2008-09,40
2008-10,38
2008-11,38
2008-12,35
2009-01,37
2009-02,39
2009-03,40
2009-04,40
2009-05,38
2009-06,37
2009-07,39
2009-08,40
2009-09,41
2009-10,42
2009-11,41
2009-12,37
2010-01,40
2010-02,42
2010-03,42
2010-04,42
2010-05,40
2010-06,38
2010-07,41
2010-08,43
2010-09,44
2010-10,44
2010-11,43
2010-12,39
2011-01,44
2011-02,45
2011-03,45
2011-04,46
2011-05,45
2011-06,42
2011-07,43
2011-08,46
2011-09,47
2011-10,47
2011-11,47
2011-12,42
2012-01,52
2012-02,54
2012-03,52
2012-04,52
2012-05,49
2012-06,47
2012-07,49
2012-08,52
2012-09,54
2012-10,56
2012-11,52
2012-12,49
2013-01,54
2013-02,55
2013-03,55
2013-04,57
2013-05,56
2013-06,53
2013-07,55
2013-08,57
2013-09,57
2013-10,59
2013-11,54
2013-12,52
2014-01,61
2014-02,59
2014-03,60
2014-04,60
2014-05,57
2014-06,55
2014-07,56
2014-08,60
2014-09,61
2014-10,62
2014-11,60
2014-12,57
2015-01,62
2015-02,62
2015-03,66
2015-04,65
2015-05,63
2015-06,63
2015-07,65
2015-08,69
2015-09,71
2015-10,70
2015-11,72
2015-12,69
2016-01,70
2016-02,75
2016-03,74
2016-04,78
2016-05,72
2016-06,71
2016-07,71
2016-08,72
2016-09,78
2016-10,80
2016-11,76
2016-12,74
2017-01,84
2017-02,82
2017-03,84
2017-04,84
2017-05,83
2017-06,77
2017-07,78
2017-08,80
2017-09,83
2017-10,88
2017-11,85
2017-12,79
2018-01,86
2018-02,89
2018-03,88
2018-04,92
2018-05,85
2018-06,84
2018-07,89
2018-08,90
2018-09,100
2018-10,97
2018-11,90
