Month,Relative Search Frequency
2004-01,43
2004-02,49
2004-03,40
2004-04,56
2004-05,48
2004-06,49
2004-07,57
2004-08,63
2004-09,61
2004-10,45
2004-11,50
2004-12,63
2005-01,55
2005-02,50
2005-03,56
2005-04,53
2005-05,55
2005-06,44
2005-07,57
2005-08,60
2005-09,57
2005-10,54
2005-11,55
2005-12,52
2006-01,59
2006-02,68
2006-03,63
2006-04,63
2006-05,54
2006-06,62
2006-07,59
2006-08,56
2006-09,55
2006-10,55
2006-11,55
2006-12,57
2007-01,55
2007-02,54
2007-03,61
2007-04,60
2007-05,51
2007-06,52
2007-07,50
2007-08,57
2007-09,58
2007-10,56
2007-11,51
2007-12,52
2008-01,51
2008-02,60
2008-03,55
2008-04,54
2008-05,53
2008-06,50
2008-07,55
2008-08,55
2008-09,58
2008-10,52
2008-11,55
2008-12,54
2009-01,55
2009-02,53
2009-03,62
2009-04,55
2009-05,57
2009-06,62
2009-07,66
2009-08,78
2009-09,67
2009-10,63
2009-11,61
2009-12,61
2010-01,64
2010-02,65
2010-03,66
2010-04,65
2010-05,60
2010-06,59
2010-07,69
2010-08,68
2010-09,73
2010-10,68
2010-11,68
2010-12,67
2011-01,73
2011-02,70
2011-03,71
2011-04,73
2011-05,70
2011-06,73
2011-07,74
2011-08,77
2011-09,82
2011-10,92
2011-11,84
2011-12,72
2012-01,81
2012-02,100
2012-03,82
2012-04,82
2012-05,76
2012-06,78
2012-07,85
2012-08,85
2012-09,81
2012-10,76
2012-11,77
2012-12,74
2013-01,82
2013-02,82
2013-03,82
2013-04,79
2013-05,79
2013-06,79
2013-07,85
2013-08,80
2013-09,80
2013-10,84
2013-11,79
2013-12,73
2014-01,85
2014-02,81
2014-03,84
2014-04,86
2014-05,81
2014-06,82
2014-07,83
2014-08,83
2014-09,84
2014-10,78
2014-11,77
2014-12,78
2015-01,82
2015-02,82
2015-03,88
2015-04,89
2015-05,83
2015-06,87
2015-07,84
2015-08,88
2015-09,88
2015-10,90
2015-11,84
2015-12,85
2016-01,75
2016-02,77
2016-03,81
2016-04,78
2016-05,77
2016-06,79
2016-07,78
2016-08,77
2016-09,84
2016-10,78
2016-11,77
2016-12,74
2017-01,81
2017-02,86
2017-03,82
2017-04,83
2017-05,85
2017-06,85
2017-07,84
2017-08,89
2017-09,88
2017-10,87
2017-11,83
2017-12,84
2018-01,87
2018-02,90
2018-03,91
2018-04,92
2018-05,87
2018-06,88
2018-07,86
2018-08,90
2018-09,86
2018-10,86
2018-11,88
